time,amplitude
0.0,0.04967141530112327
0.0005,0.12500490230096392
0.001,0.3284418695511523
0.0015,0.518418951684378
0.002,0.4226945506835723
0.0025,0.4872114114594534
0.003,0.7269793884697028
0.0035,0.7046738539883455
0.004,0.6407824126733948
0.0045000000000000005,0.7977591743042348
0.005,0.7423677440791446
0.0055,0.7734651335459173
0.006,0.8645548496350882
0.006500000000000001,0.6666780868666771
0.007,0.7101461071530262
0.0075,0.863599280841726
0.008,0.8660480330049221
0.0085,1.046548533321703
0.009000000000000001,0.9585520174575358
0.0095,0.9170320662816198
0.01,1.1836452632167573
0.0105,0.9668956694283405
0.011,0.9316586983782128
0.0115,0.7109961203871613
0.012,0.7265706341264045
0.0125,0.7181990401575342
0.013000000000000001,0.5118289682033259
0.0135,0.5732628149527531
0.014,0.3730906072442785
0.0145,0.29625984186244014
0.015,0.16282246312255994
0.0155,0.3210253853710351
0.016,0.066743787395332
0.0165,-0.0899775735139057
0.017,0.05015955507091254
0.0175,-0.21065852320801867
0.018000000000000002,-0.14185825694007784
0.0185,-0.4518302750114995
0.019,-0.49412946646738054
0.0195,-0.44865137406245775
0.02,-0.4936311132783753
0.0205,-0.6375671375198334
0.021,-0.7437162009984368
0.021500000000000002,-0.8352887093546976
0.022,-1.0254114364787243
0.0225,-1.0196255524426627
0.023,-1.0538256984554577
0.0235,-0.9417063230593976
0.024,-1.024217122927201
0.0245,-1.2165889992389216
0.025,-0.9675916030605205
0.025500000000000002,-0.9893471735451436
0.026000000000000002,-0.9736877496039262
0.0265,-0.8120011967885102
0.027,-0.7486911981674284
0.0275,-0.7412439048619232
0.028,-0.8950183658843122
0.0285,-0.8060529225407337
0.029,-0.6926595389428538
0.029500000000000002,-0.5703652522962375
0.03,-0.6560101570915595
0.0305,-0.5683112315177542
0.031,-0.6008812189532104
0.0315,-0.5412332402751278
0.032,-0.2533825756497372
0.0325,-0.08867076901246324
0.033,-0.10068711507725489
0.0335,0.14738128856377428
0.034,0.2187365597642466
0.0345,0.23597694041243086
0.035,0.43118042495523695
0.035500000000000004,0.6226702210743904
0.036000000000000004,0.5267702680562771
0.0365,0.7449381081674755
0.037,0.3859451431428479
0.0375,0.7892970316240692
0.038,0.7687222857964724
0.0385,0.7707894744940298
0.039,0.8368835598318569
0.0395,0.6472790604308789
0.04,0.843065457481954
0.0405,0.9292823446135203
0.041,1.0826643820934503
0.0415,0.9320622988419226
0.042,0.9478729515288595
0.0425,1.0053729430659981
0.043000000000000003,1.1460686436231402
0.043500000000000004,1.056630537541963
0.044,0.916319462076851
0.0445,0.952772688416281
0.045,0.8390322303243097
0.0455,0.8535834683685704
0.046,0.6111590512027532
0.0465,0.5651175115731233
0.047,0.46338466772581455
0.0475,0.25100439751151166
0.048,0.3197512449199076
0.0485,0.21797177325287248
0.049,0.11160095909461307
0.0495,0.025926580881431405
0.05,-0.14153707420504125
0.0505,-0.09144982649548165
0.051000000000000004,-0.1453610650830434
0.051500000000000004,-0.27209397295704474
0.052000000000000005,-0.30626778838005003
0.0525,-0.3569508066432668
0.053,-0.31397689291797465
0.0535,-0.5804259449497139
0.054,-0.6556093215182098
0.0545,-0.7641635608918962
0.055,-1.021201596919408
0.0555,-0.9040973326498654
0.056,-0.9632724614594506
0.0565,-0.7774312153274652
0.057,-1.0737645283310449
0.0575,-1.0253939131910912
0.058,-1.0321934887887028
0.0585,-1.100757124431241
0.059000000000000004,-0.8205926961677973
0.059500000000000004,-0.8183777841936684
0.06,-0.785929451561401
0.0605,-0.9369746973704425
0.061,-0.6874280510846973
0.0615,-0.9408753158198457
0.062,-0.7013318695926289
0.0625,-0.4880612186055504
0.063,-0.7469732860648934
0.0635,-0.645103515546353
0.064,-0.5203877354585087
0.0645,-0.5192141298394145
0.065,-0.5501072075110095
0.0655,-0.2936326183923424
0.066,-0.2888033286320959
0.0665,0.00033124428894521635
0.067,0.001543679495838779
0.0675,0.3792882123712974
0.068,0.25630982865553253
0.0685,0.3894064262464919
0.069,0.5715994432895735
0.0695,0.42665890220797653
0.07,0.6308387267674423
0.07050000000000001,0.7986340404367152
0.07100000000000001,0.5650375586270874
0.07150000000000001,0.7935950708088424
0.07200000000000001,0.8370848929868907
0.0725,0.9125542039512735
0.073,0.7280960793292148
0.0735,0.7411231643641685
0.074,0.9581897061350189
0.0745,0.9805374128268297
0.075,1.0250492850345865
0.0755,1.0749298046523448
0.076,0.9905764797261979
0.0765,1.0706439153973903
0.077,1.037069068689349
0.0775,0.8762059898005569
0.078,1.0641366885564594
0.0785,0.852561631886948
0.079,0.6130210230393491
0.0795,0.7203593265022152
0.08,0.47000960425518484
0.0805,0.5470459580236171
0.081,0.47717041947828026
0.0815,0.17379503078835218
0.082,0.2590822293649862
0.0825,0.12985225090456737
0.083,0.11430095213885552
0.0835,0.17388577888371107
0.084,-0.09263232146941143
0.0845,-0.21117118335589002
0.085,-0.3119445673080489
0.0855,-0.40701024533831043
0.08600000000000001,-0.44086464717756907
0.08650000000000001,-0.501577815636519
0.08700000000000001,-0.5992592460125533
0.08750000000000001,-0.6243884562829454
0.088,-0.7797087173911306
0.0885,-0.7081175312927717
0.089,-0.9513715612332136
0.0895,-0.7174563828180309
0.09,-0.9745136515480997
0.0905,-1.1439781920567769
0.091,-1.1564436748157685
0.0915,-0.9668765585378591
0.092,-0.9896774235709512
0.0925,-0.8484279843566149
0.093,-0.8353141279469763
0.0935,-0.8652890025981447
0.094,-0.9250379942853256
0.0945,-0.9715228313715295
0.095,-0.8333610085670938
0.0955,-0.6578632905132917
0.096,-0.6663204768538697
0.0965,-0.7525042589442549
0.097,-0.5517400143338461
0.0975,-0.4720933691814878
0.098,-0.5344956317760209
0.0985,-0.3507434554490235
0.099,-0.25785214389648264
0.0995,-0.2531283622011475
0.1,0.03577873603482723
0.1005,0.19490978505490653
0.101,0.3719781400586086
0.1015,0.4714961712470652
0.10200000000000001,0.30834295136019735
